Chinese,Pinyin,English
身上,shēn shàng,body; on one’s body
身体,shēntǐ,body
什么,shénme,What
生病,shēngbìng,Fall ill
生气,shēngqì,get angry
生日,shēngrì,Birthday
十,shí,Ten
时候,shíhou,time
时间,shíjiān,time
事,shì,thing
试,shì,try
是,shì,yes
是不是,shì bú shì,isn’t it?
手,shǒu,hand
手机,shǒujī,Mobile phone
书,shū,book
书包,shū bāo,school bag
书店,shū diàn,bookstore
树,shù,tree
水,shuǐ,water
水果,shuǐguǒ,Fruits
睡,shuì,sleep
睡觉,shuìjiào,sleep
说,shuō,speak
说话,shuōhuà,talk
四,sì,Four
送,sòng,give
岁,suì,"year, age"
他,tā,he
他们,tā men,they
她,tā,she
她们,tā men,they
太,tài,too
天,tiān,day
天气,tiānqì,weather
听,tīng,hear
听到,tīng dào,hear
听见,tīng jiàn,hear
听写,tīng xiě,dictation; dictate
同学,tóngxué,Classmate
图书馆,túshūguǎn,Library
外,wài,"abroad, outside"
外边,wài biān,outside
外国,wài guó,foreign country
外语,wài yǔ,foreign language
玩儿,wánr,play
晚,wǎn,late
晚饭,wǎn fàn,dinner
晚上,wǎnshang,Night
网上,wǎng shàng,online
网友,wǎng yǒu,net friend
忘,wàng,forget
忘记,wàngjì,forget
问,wèn,ask
我,wǒ,I
我们,wǒmen,We
五,wǔ,Five
午饭,wǔ fàn,lunch
西,xī,west
西边,xī biān,west; west side
洗,xǐ,wash
洗手间,xǐshǒujiān,Restroom
喜欢,xǐhuan,like
下（名、动）,xià,below; under; next; go down; get off
下班,xià bān,get off work
下边,xià biān,below; under
下车,xià chē,get off
下次,xià cì,next time
下课,xià kè,finish class
下午,xiàwǔ,Afternoon
下雨,xiàyǔ,rain
先,xiān,before
先生,xiānsheng,Sir
现在,xiànzài,Now
想,xiǎng,think
小,xiǎo,Small
小孩儿,xiǎo háir,child; kid
小姐,xiǎojiě,Miss
小朋友,xiǎo péng yǒu,child; kid
小时,xiǎoshí,hour
小学,xiǎo xué,primary school; elementary school
小学生,xiǎo xué shēng,elementary school student
笑,xiào,laugh
写,xiě,write
谢谢,xièxie,Thank you
新,xīn,new
新年,xīn nián,New Year
星期,xīngqī,week
星期日,xīng qī rì,Sunday
星期天,xīng qī tiān,Sunday
行,xíng,That’s ok
休息,xiūxi,Rest
学,xué,learn; study
学生,xuésheng,Student
学习,xuéxí,Study
学校,xuéxiào,School
学院,xué yuàn,college; academy
要（动）,yào,want
爷爷,yéye,grandpa
也,yě,also
页,yè,page
一,yī,One
衣服,yīfu,clothes
医生,yīshēng,Doctor
医院,yīyuàn,Hospital
一半,yí bàn,half
一会儿,yíhuìr,A little while
一块儿,yí kuàir,together
一下儿,yí xiàr,a little bit
一样,yíyàng,equally
一边,yìbiān,One side
一点儿,yīdiǎnr,a little bit
一起,yìqǐ,together
一些,yì xiē,some
用,yòng,use
有,yǒu,have
有的,yǒu de,some
有名,yǒumíng,Famous
有时候｜有时,yǒu shí hòu ｜ yǒu shí,sometimes
有（一）些,yǒu （ yì ） xiē,some
有用,yǒu yòng,useful
右,yòu,right
右边,yòubian,Right
雨,yǔ,rain
元,yuán,element; Yuan
远,yuǎn,far
月,yuè,month
再,zài,again
再见,zàijiàn,Bye
在,zài,stay; in process of
在家,zài jiā,at home
早,zǎo,early
早饭,zǎo fàn,breakfast
早上,zǎoshang,Morning
怎么,zěnme,How
站（名）,zhàn,station
找,zhǎo,look for
找到,zhǎo dào,find
这,zhè,Here (here)
这边,zhè biān,here
这里,zhè lǐ,here
这儿,zhèr,here
这些,zhè xiē,these
着,zhe,in process of
真,zhēn,really
真的,zhēn de,really
正（副）,zhèng,just; exactly
正在,zhèngzài,in process of
知道,zhīdào,know
知识,zhīshi,knowledge
中,zhōng,middle; in
中国,zhōngguó,China
中间,zhōngjiān,Middle
中文,zhōngwén,Chinese
中午,zhōngwǔ,Noon
中学,zhōng xué,middle school
中学生,zhōng xué shēng,middle School student
重,zhòng,heavy
重要,zhòngyào,important
住,zhù,live
准备,zhǔnbèi,Get ready
桌子,zhuōzi,Table
字,zì,"word, character"
子（桌子）,zi （ zhuō zi ）,noun suffix (table)
走,zǒu,"go, walk"
走路,zǒu lù,walk
最,zuì,most
最好,zuìhǎo,Best
最后,zuìhòu,Last
昨天,zuótiān,Yesterday
左,zuǒ,left
左边,zuǒbian,left
坐,zuò,sit
坐下,zuò xià,sit down
做,zuò,do
